Asset,Sigma
SHV,0.0031
SHY,0.0128
IEI,0.0319
IEF,0.0542
STIP,0.0165
TIP,0.0376
IBDK,0.0092
IGSB,0.0322
IGIB,0.0655
LQD,0.0702
SHYG,0.0701
HYG,0.0765
FLOT,0.0591
ICVT,0.1391
SRRIX,0.0831
MBB,0.0228
IAGG,0.0306
EMB,0.1006
SUB,0.0123
MUB,0.0349
PFF,0.1082
IVE,0.1796
IVV,0.1679
IVW,0.1655
IJJ,0.2384
IJH,0.215
IJK,0.1974
IJS,0.235
IJR,0.2328
IJT,0.2178
EFA,0.15
EEM,0.18
GSG,0.2434
PBP,0.132
GLD,0.1043
USRT,0.1896
QAI,0.0538
SDRIX,0.070798836
HF:RE,0.1775
HF:ANCH,0.0397
HF:GOLUB,0.07
PSP,0.2347
FMF,0.0567
FX:USD,0
AMLP,0.4447
MP:LCC,0.115
MP:LUC,0.1644
